rank,world_size,backend,device,size_mb,warmup_steps,measure_steps,mean_seconds,std_seconds,min_seconds,max_seconds
0,4,gloo,cpu,1,5,10,0.0025728624015755484,0.0012020305693068783,0.0015408750041387975,0.004025041998829693
0,4,gloo,cpu,10,5,10,0.007967104097770062,0.00038931753941570874,0.007408999998006038,0.00865699999849312
0,4,gloo,cpu,100,5,10,0.08313242919975891,0.005140111782397356,0.07674024999869289,0.09573341700161109
0,4,gloo,cpu,1024,5,10,0.9650855334009976,0.32915911418498534,0.7956410839979071,1.8130387080018409
1,4,gloo,cpu,1,5,10,0.002596258198173018,0.0011878456449035595,0.0015234999955282547,0.004029499999887776
1,4,gloo,cpu,10,5,10,0.008009999999194406,0.0003982833796463348,0.007248582995089237,0.008584249997511506
1,4,gloo,cpu,100,5,10,0.08305048320107744,0.004999414873394007,0.07612675000564195,0.09481249999953434
1,4,gloo,cpu,1024,5,10,0.9693110084008367,0.3408285678235783,0.7984262500031036,1.8609295830028714
2,4,gloo,cpu,1,5,10,0.0025958708021789787,0.0011885142939369717,0.001458958002331201,0.00404158300079871
2,4,gloo,cpu,10,5,10,0.008006733302318025,0.0003439391940342289,0.007374083004833665,0.008421708000241779
2,4,gloo,cpu,100,5,10,0.08308281659992645,0.00471896623945683,0.07697283400193555,0.09430187499674503
2,4,gloo,cpu,1024,5,10,0.9664393791994371,0.3322758054602347,0.7977894159994321,1.8263976250018459
3,4,gloo,cpu,1,5,10,0.002581145900330739,0.0012173020021902835,0.0014778750046389177,0.004029499999887776
3,4,gloo,cpu,10,5,10,0.008006858299631858,0.0003539640569278771,0.007473332996596582,0.008618583000497892
3,4,gloo,cpu,100,5,10,0.08353577899979428,0.005119737306046949,0.07730816699768184,0.0958377080023638
3,4,gloo,cpu,1024,5,10,0.9660620956994534,0.3364810047541434,0.7950677080007154,1.8412020420000772
